Time (days),Mu
4.9,0.12367
9.8,0.12799
14.700000000000001,0.2892
19.6,0.43293
24.5,0.29562
29.4,0.40185
34.3,0.27001
39.199999999999996,0.20089
44.099999999999994,0.13175
48.99999999999999,0.20184
53.89999999999999,0.21881
58.79999999999999,0.10587
63.69999999999999,0.16194
68.6,0.65727
78.4,0.27867
88.20000000000002,0.10149
93.10000000000002,0.25399
98.00000000000003,0.4596
102.90000000000003,0.97874
107.80000000000004,0.19906
112.70000000000005,0.19234
117.60000000000005,0.12724
122.50000000000006,0.28764
127.40000000000006,0.11006
132.30000000000007,0.16572
137.20000000000007,0.10186
142.10000000000008,0.1036
147.00000000000009,0.55644
